sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
3,0,3,0,9,0,9,0,,,,,,,,2.6849850540312987,frequency,156.0,2.057569830671264,0.0005661429803372902,0,46,[],0.005422166781499982,None,None,170.1912210000446,170.1912210000446,0.2217912666965276,2.9067763207278263,170.41699350008275,170.1912210000446,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
4,0,4,0,0,0,0,0,,,,,"[0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666]",182.39965400006622,None,2.6200152797498975,none,2434.0,0.2696447827363876,8.709460766771219e-05,0,38,[],0.010042666806839406,None,None,183.43668559996877,None,0.21630556671880186,2.8363208464686993,183.66651900007855,None,,173.12574270006735,None,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
4,0,4,0,1,0,1,0,,,,,,,,1.4330286010792563,none,644.0,-0.39758150335781606,4.770269924957848e-05,0,39,[],0.002567066694609821,None,None,186.31259980006143,186.31259980006143,0.20875696674920619,1.6417855678284625,186.53276139998343,186.31259980006143,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
4,0,4,0,2,0,2,0,,,,,,,,2.725098645405869,none,,,,1,39,[],0.00942406675312668,None,['space'],187.99082499998622,187.99082499998622,0.22033056674990803,2.9454292121557772,188.21203020005487,187.99082499998622,[-1.1108682000776753],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
4,0,4,0,3,0,3,0,,,,,,,,1.504285375106774,none,2168.0,-0.16144921319486993,7.708958001880879e-05,0,40,[],0.009685766650363803,None,None,190.96191559999716,190.96191559999716,0.21912126673851162,1.7234066418452856,191.17838779999875,190.96191559999716,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
4,0,4,0,4,0,4,0,,,,,,,,1.3265786201297467,none,1023.0,-0.2479096099272371,4.3747842157743484e-05,0,41,[],0.008371966774575412,None,None,192.71176059998106,192.71176059998106,0.20962836674880236,1.536206986878549,192.932395300013,192.71176059998106,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
4,0,4,0,5,0,5,0,,,,,,,,2.796647315338415,none,812.0,-0.13026285980676222,3.8132944538625374e-05,0,42,[],0.007338766707107425,None,"['space', 'space']",194.28155010007322,194.28155010007322,0.21312306670006365,3.0097703820384787,194.49625169998035,194.28155010007322,"[-1.114791699917987, -0.026490099960938096]",,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
4,0,4,0,6,0,6,0,,,,,,,,1.8838475754564006,none,7294.0,-3.1058355950035406,0.0001119963677300385,0,43,[],0.004527866723947227,None,None,197.31933720002417,197.31933720002417,0.2077095666900277,2.0915571421464283,197.53479519998655,197.31933720002417,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
4,0,4,0,7,0,7,0,,,,,,,,2.7142359244667724,none,5789.0,-7.254019504546564,5.3640816721536675e-05,0,44,[],0.00936056673526764,None,['space'],199.44964830006938,199.44964830006938,0.21385466679930687,2.9280905912660793,199.65884649998043,199.44964830006938,[-1.80302709992975],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
4,0,4,0,8,0,8,0,,,,,,,,2.9586485848916477,none,4595.0,0.0,0.0001248796844851434,0,45,[],0.009538166574202478,None,None,202.39880010008346,202.39880010008346,0.21495706657879055,3.1736056514704383,202.61405700002797,202.39880010008346,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
4,0,4,0,9,0,9,0,,,,,,,,2.780417500416903,none,3647.0,0.0,7.774360249480771e-05,0,46,[],0.009387666825205088,None,['space'],205.604078900069,205.604078900069,0.21687996678519994,2.997297467202103,205.8192349000601,205.604078900069,[-2.7884009999688715],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
4,0,4,0,10,0,10,0,,,,,,,,1.006436344836991,none,1289.0,-1.0323974425442457,4.754079760794396e-05,0,47,[],0.009403366828337312,None,['space'],208.62331459997222,208.62331459997222,0.21785086684394628,1.2242872116809373,208.8390690999804,208.62331459997222,[-2.5443857999052852],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
