sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,,Audiogram_both,Audiogram_none,Audiogram_time,Audiogram_frequency,participant,session,language (english or french),date,expName,psychopyVersion,frameRate,
3,0,3,0,5,0,5,0,,,,,,,,1.5900445254752884,both,329.87697769322364,8.0,0.0002380236949658044,0,32,[],0.02258873009122908,None,None,145.36216629995033,145.36216629995033,0.228340330068022,1.8183848555433104,145.56809279997833,145.36216629995033,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
3,0,3,0,6,0,6,0,,,,,,,,1.5900445254752884,both,,,,1,32,[],0.02253182977437973,None,None,147.16011060005985,147.16011060005985,0.2302841297350824,1.8203286552103708,147.3761062999256,147.16011060005985,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
3,0,3,0,7,0,7,0,,,,,,,,1.5900445254752884,both,415.618948071394,6.5386599676442305,0.00016082432164410803,0,33,[],0.023673330200836062,None,None,148.9678909999784,148.9678909999784,0.23098863032646477,1.8210331558017532,149.1842147000134,148.9678909999784,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
3,0,3,0,8,0,8,0,,,,,,,,1.5900445254752884,both,466.51649576840384,7.328233852310385,0.00017008234961333592,0,34,[],0.022424129769206047,None,None,150.7694526000414,150.7694526000414,0.23024572990834713,1.8202902553836355,150.98394179996103,150.7694526000414,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
3,0,3,0,9,0,9,0,,,,,,,,1.5900445254752884,both,523.6470614103135,6.942949429921506,0.0001506931852387625,0,35,[],0.02252093027345836,None,None,152.56658639991656,152.56658639991656,0.22913623019121587,1.8191807556665043,152.78250139998272,152.56658639991656,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
4,0,4,0,0,0,0,0,,,,,"[0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334]",156.46595049998723,None,2.311628540342336,time,3482.202253184498,-1.280142284680748,6.459351256879695e-05,0,34,[],0.024182029999792576,None,None,156.62138450006023,None,0.23651992995291948,2.5481484702952555,156.83633189997636,None,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
4,0,4,0,1,0,1,0,,,,,,,,2.311628540342336,time,1231.1444133449168,3.0,7.588229331321392e-05,0,35,[],0.021130530396476388,None,None,159.14430439984426,159.14430439984426,0.2295684302225709,2.541196970564907,159.36594319995493,159.14430439984426,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
4,0,4,0,2,0,2,0,,,,,,,,2.311628540342336,time,2324.0911739156804,-0.6391335061634886,7.617912735099224e-05,0,36,[],0.015322630060836673,0.2115735299885273,None,161.67016909993254,161.67016909993254,0.2115735299885273,2.5232020703308633,161.88583329995163,161.67016909993254,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
4,0,4,0,3,0,3,0,,,,,,,,2.311628540342336,time,652.1760348827823,3.2121123550716577,7.124378614162891e-05,0,37,[],0.01457933010533452,None,None,164.19201830006205,164.19201830006205,0.2159856299404055,2.5276141702827415,164.40798570006154,164.19201830006205,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
4,0,4,0,4,0,4,0,,,,,,,,2.311628540342336,time,461.15809679296973,3.151422665967933,0.00010554582805443916,0,38,[],0.01178402965888381,None,None,166.73079249984585,166.73079249984585,0.21192912966944277,2.5235576700117788,166.94747709995136,166.73079249984585,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
4,0,4,0,5,0,5,0,,,,,,,,2.311628540342336,time,517.6324619206889,6.4372659833481345,0.00014413925651702897,0,39,[],0.014902829891070724,None,None,169.2635186999105,169.2635186999105,0.21641872986219823,2.5280472702045342,169.47777609992772,169.2635186999105,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
4,0,4,0,6,0,6,0,,,,,,,,2.311628540342336,time,,,,1,39,[],0.02219803025946021,None,None,171.7919185999781,171.7919185999781,0.2275625301990658,2.539191070541402,172.01334629999474,171.7919185999781,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
4,0,4,0,7,0,7,0,,,,,,,,2.311628540342336,time,307.78610333622913,4.17491752432141,0.00017184243414065071,0,40,[],0.023047629976645112,None,None,174.3163316999562,174.3163316999562,0.2329043298959732,2.544532870238309,174.52845430001616,174.3163316999562,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
