sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,participant,session,language (english or french),date,expName,psychopyVersion,frameRate,
4,0,4,0,1,0,1,0,,,,,,,,1.0163687507569872,none,318.64015682981574,28.53187951890828,0.002608449138640041,0,35,[],0.017424810000193247,None,['space'],137.06470369999988,137.06470369999988,0.21019231000036598,1.2265610607573532,137.2745046,137.06470369999988,[-2.4374158000000534],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,2,0,2,0,,,,,,,,1.4196417949843787,none,1350.3499461681913,16.877663458399557,0.00036310789397373927,0,36,[],0.02011041000014302,None,['space'],138.29436350000014,138.29436350000014,0.21845191000011255,1.6380937049844913,138.50789480000003,138.29436350000014,[-0.7707673000004434],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,3,0,3,0,,,,,,,,1.678257785071394,none,212.66679023771405,30.556953178330524,0.008113148765489716,0,37,[],0.01973861000033139,None,['space'],139.9319945000002,139.9319945000002,0.21872581000025093,1.896983595071645,140.14289670000016,139.9319945000002,[-1.1773880999999164],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,4,0,4,0,,,,,,,,1.9866381749972504,none,4812.100144328471,11.622053150866595,0.0005329224559906742,0,38,[],0.02001500999995187,None,['space'],141.81933339999978,141.81933339999978,0.2200394100000267,2.2066775849972773,142.02411100000018,141.81933339999978,[-1.5446201000004294],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,5,0,5,0,,,,,,,,2.4977188466133295,none,168.79374327102386,19.889437787634268,0.0037429981518205986,0,39,[],0.01957371000025887,None,None,144.01380370000015,144.01380370000015,0.21956151000040336,2.717280356613733,144.22592129999975,144.01380370000015,,,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,6,0,6,0,,,,,,,,1.7586824608101295,none,675.1749730840955,22.683542888341186,0.0006429067440424137,0,40,[],0.019392210000205523,None,['space'],146.72525829999995,146.72525829999995,0.21855201000016677,1.9772344708102962,146.93426779999982,146.72525829999995,[-2.289901600000121],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,7,0,7,0,,,,,,,,2.110428136569197,none,1071.7734625362941,31.0,0.0016695574131143172,0,41,[],0.016842909999922995,0.2083981099999619,['space'],148.69407950000004,148.69407950000004,0.2083981099999619,2.318826246569159,148.90193210000007,148.69407950000004,[-1.5236461000004056],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,8,0,8,0,,,,,,,,2.452294684482161,none,850.6671609508564,30.78544751857037,0.001377983885298303,0,42,[],0.01524050999978499,0.21050951000006535,['space'],151.01452389999986,151.01452389999986,0.21050951000006535,2.6628041944822263,151.23036139999977,151.01452389999986,[-1.908028899999863],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,9,0,9,0,,,,,,,,2.308262552629129,none,3211.691527453509,15.246826088004,0.0004055763838512132,0,43,[],0.019727509999938775,None,['space'],153.6792588999997,153.6792588999997,0.21884391000003234,2.5271064626291615,153.88923270000032,153.6792588999997,[-2.3009243000001334],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,10,0,10,0,,,,,,,,1.1497531640052416,none,2023.238880603847,14.852297810683124,0.0004164521724412474,0,44,[],0.019722510000065085,None,['space'],156.19613769999978,156.19613769999978,0.2179653100001815,1.3677184740054231,156.40671649999967,156.19613769999978,[-2.0329836000005344],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
