sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_both,Audiogram_frequency,Audiogram_time,Audiogram_none,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
3,0,3,0,1,0,1,0,,,,,,,,1.6821527363520945,both,2862.0,-7.680616355542313,2.6185207407648657e-05,0,27,[],0.021536940010264516,None,None,194.64507189998403,194.64507189998403,0.22652704000938684,1.9086797763614813,194.86004139995202,194.64507189998403,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
3,0,3,0,2,0,2,0,,,,,,,,1.6821527363520945,both,1910.0,-7.86871571067476,2.8594229739300525e-05,0,28,[],0.02198104001581669,None,None,196.56439690000843,196.56439690000843,0.2294084399472922,1.9115611762993867,196.78012819995638,196.56439690000843,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
3,0,3,0,3,0,3,0,,,,,,,,1.6821527363520945,both,1275.0,-0.32077285307859604,5.1934733592029016e-05,0,29,[],0.021909039933234453,None,None,198.48663830000442,198.48663830000442,0.22651733993552625,1.9086700762876208,198.70079469995108,198.48663830000442,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
3,0,3,0,4,0,4,0,,,,,,,,1.6821527363520945,both,851.0,-7.9010355737094615,1.603330951629318e-05,0,30,[],0.010798139963299036,None,['space'],200.41069679998327,200.41069679998327,0.20737563993316144,1.889528376285256,200.62884349992964,200.41069679998327,[-1.286054000025615],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
3,0,3,0,5,0,5,0,,,,,,,,1.6821527363520945,both,568.0,-6.469597260230696,2.888587916064862e-05,0,31,[],0.021058540092781186,None,None,202.3360388999572,202.3360388999572,0.22579954005777836,1.9079522764098729,202.54909799993038,202.3360388999572,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
3,0,3,0,6,0,6,0,,,,,,,,1.6821527363520945,both,379.0,-8.0,3.264724102951903e-05,0,32,[],0.02202363999094814,None,None,204.25407709996216,204.25407709996216,0.2267156399320811,1.9088683762841756,204.46776879997924,204.25407709996216,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
3,0,3,0,7,0,7,0,,,,,,,,1.6821527363520945,both,253.0,-7.911295713267119,6.608222435996223e-05,0,33,[],0.02187714003957808,None,None,206.17384359997232,206.17384359997232,0.22665004001464695,1.9088027763667414,206.38510079996195,206.17384359997232,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
3,0,3,0,8,0,8,0,,,,,,,,1.6821527363520945,both,169.0,-5.14850146884888,0.0002091516208119068,0,34,[],0.021606339956633747,None,None,208.09524419996887,208.09524419996887,0.2302644399460405,1.912417176298135,208.30946969997603,208.09524419996887,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
3,0,3,0,9,0,9,0,,,,,,,,1.6821527363520945,both,,,,1,34,[],0.021892540040425956,None,None,210.0127600999549,210.0127600999549,0.22726014000363648,1.909412876355731,210.22787980001885,210.0127600999549,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
4,0,4,0,0,0,0,0,,,,,0.5833333333333334,218.22204829996917,None,2.9144093519237346,both,2135.0,2.062594757389971,9.865831609308842e-05,0,35,[],0.02479993994347751,None,None,219.24916729994584,None,0.2237628399161622,3.138172191839897,219.45788479992189,None,,211.93095999991056,None,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
4,0,4,0,1,0,1,0,,,,,,,,2.9144093519237346,both,1425.0,7.134488925018504,0.00011405684418423716,0,36,[],0.017199939931742847,None,None,222.39898880000692,222.39898880000692,0.21471783984452486,3.1291271917682595,222.61855909996666,222.39898880000692,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
4,0,4,0,2,0,2,0,,,,,,,,2.9144093519237346,both,951.0,3.443455877893811,6.341490352761126e-05,0,37,[],0.021679339930415154,None,['space'],225.56109299999662,225.56109299999662,0.22229853982571512,3.1367078917494498,225.77277729997877,225.56109299999662,[-2.620015099993907],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
4,0,4,0,3,0,3,0,,,,,,,,2.9144093519237346,both,635.0,0.2785866751813545,5.237952365904271e-05,0,38,[],0.02108423982281238,None,['space'],228.71516259992495,228.71516259992495,0.22631733992602676,3.1407266918497614,228.9314916000003,228.71516259992495,[-2.5341295999241993],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
4,0,4,0,4,0,4,0,,,,,,,,2.9144093519237346,both,424.0,1.6105921644114258,9.067474425627168e-05,0,39,[],0.015279839979484677,None,['space'],231.878488700022,231.878488700022,0.21116973995231092,3.1255790918760455,232.09480099997018,231.878488700022,[-2.402002799906768],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
4,0,4,0,5,0,5,0,,,,,,,,2.9144093519237346,both,283.0,3.5251394992035436,0.00019885920078297603,0,40,[],0.021427639992907643,None,['space'],235.03655429999344,235.03655429999344,0.22352773998863995,3.1379370919123746,235.24993439996615,235.03655429999344,[-2.688424599939026],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
4,0,4,0,6,0,6,0,,,,,,,,2.9144093519237346,both,189.0,4.0,0.0004841911708835744,0,41,[],0.021447940031066537,None,['space'],238.1974725999171,238.1974725999171,0.22769754007458687,3.1421068919983215,238.41874200000893,238.1974725999171,[-2.72887140000239],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
4,0,4,0,7,0,7,0,,,,,,,,2.9144093519237346,both,126.0,2.661342416793084,0.000969737186419438,0,42,[],0.014506639912724495,None,['space'],241.35735659999773,241.35735659999773,0.21360793989151716,3.128017291815252,241.57890520000365,241.35735659999773,[-2.7536275000311434],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
4,0,4,0,8,0,8,0,,,,,,,,2.9144093519237346,both,,,,1,42,[],0.021360939950682223,None,['space'],244.51410379994195,244.51410379994195,0.22659763996489346,3.141006991888628,244.728632299928,244.51410379994195,[-2.581086700083688],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
5,0,5,0,0,0,0,0,,,,,0.5833333333333334,253.38427419995423,None,2.801713634186357,both,8000.0,0.0,0.0001815390273850507,0,43,[],0.02437954000197351,0.21972893993370235,None,254.42572990001645,None,0.21972893993370235,3.0214425741200595,254.62191009998787,None,,247.67304219992366,None,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
5,0,5,0,1,0,1,0,,,,,,,,2.801713634186357,both,5339.0,0.184393306032913,0.00014325407893895357,0,44,[],0.020132840028963983,None,None,257.45113679999486,257.45113679999486,0.222108340007253,3.02382197419361,257.66507009998895,257.45113679999486,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
5,0,5,0,2,0,2,0,,,,,,,,2.801713634186357,both,3563.0,-0.8113674907460204,6.946723402750311e-05,0,45,[],0.01843513990752399,None,['space'],260.488202599925,260.488202599925,0.21804403990972787,3.019757674096085,260.70459799992386,260.488202599925,[-2.563828799990006],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
5,0,5,0,3,0,3,0,,,,,,,,2.801713634186357,both,2378.0,0.0,8.319101203890894e-05,0,46,[],0.013885739957913756,None,['space'],263.5326504999539,263.5326504999539,0.21479243994690478,3.016506074133262,263.74852929997724,263.5326504999539,[-2.592456500045955],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
5,0,5,0,4,0,4,0,,,,,,,,2.801713634186357,both,,,,1,46,[],0.017099740100093186,None,['space'],266.57919049996417,266.57919049996417,0.21441074006725103,3.016124374253608,266.7993533000117,266.57919049996417,[-2.5828011999838054],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
5,0,5,0,5,0,5,0,,,,,,,,2.801713634186357,both,1059.0,3.120959386078952,6.663308991457292e-05,0,47,[],0.02120743994601071,None,None,269.63140780001413,269.63140780001413,0.2236729400465265,3.0253865742328836,269.8455198999727,269.63140780001413,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
5,0,5,0,6,0,6,0,,,,,,,,2.801713634186357,both,707.0,0.021867981931454245,4.4524267122168876e-05,0,48,[],0.01827274006791413,None,None,272.6676972999703,272.6676972999703,0.21706034010276198,3.018773974289119,272.8873375999974,272.6676972999703,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
5,0,5,0,7,0,7,0,,,,,,,,2.801713634186357,both,472.0,0.30527180600694326,7.548220587025495e-05,0,49,[],0.0134467399911955,None,['space'],275.71178209991194,275.71178209991194,0.2148912400007248,3.016604874187082,275.92461969994474,275.71178209991194,[-0.8516263999044895],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
5,0,5,0,8,0,8,0,,,,,,,,2.801713634186357,both,315.0,2.3163830165074675,0.00012876242735547708,0,50,[],0.01914364006370306,None,['space'],278.7566090999171,278.7566090999171,0.2201731400564313,3.0218867742427884,278.97195389994886,278.7566090999171,[-2.3924316000193357],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
